date,sexual,violent,property
2006-01-31,45,466,972
2006-02-28,18,301,532
2006-03-31,6,114,215
2006-04-30,18,347,688
2006-05-31,43,712,1315
2006-06-30,36,595,1265
2006-07-31,48,672,1531
2006-08-31,30,596,1432
2006-09-30,38,554,1326
2006-10-31,38,556,1376
2006-11-30,30,497,1271
2006-12-31,29,479,1255
2007-01-31,36,407,1053
2007-02-28,31,397,835
2007-03-31,35,537,1128
2007-04-30,31,522,1149
2007-05-31,37,600,1219
2007-06-30,41,667,1400
2007-07-31,37,636,1560
2007-08-31,31,599,1576
2007-09-30,27,596,1482
2007-10-31,24,571,1366
2007-11-30,31,489,1255
2007-12-31,21,465,1066
2008-01-31,20,80,162
2008-02-29,4,1,12
2008-03-31,7,6,24
2008-04-30,3,2,25
2008-05-31,1,10,64
2008-06-30,32,429,1092
2008-07-31,41,679,1602
2008-08-31,49,638,1570
2008-09-30,33,548,1360
2008-10-31,30,483,1321
2008-11-30,39,487,1160
2008-12-31,31,437,1053
2009-01-31,38,483,1063
2009-02-28,21,383,911
2009-03-31,22,513,1033
2009-04-30,32,531,1183
2009-05-31,46,613,1398
2009-06-30,27,580,1260
2009-07-31,42,643,1361
2009-08-31,38,633,1490
2009-09-30,28,578,1424
2009-10-31,34,552,1415
2009-11-30,21,456,1356
2009-12-31,31,452,1142
2010-01-31,36,457,1082
2010-02-28,20,414,904
2010-03-31,28,513,1064
2010-04-30,17,490,1223
2010-05-31,46,538,1347
2010-06-30,33,586,1552
2010-07-31,47,618,1581
2010-08-31,41,565,1557
2010-09-30,36,471,1478
2010-10-31,28,505,1381
2010-11-30,13,431,1168
2010-12-31,14,371,1053
2011-01-31,22,356,1025
2011-02-28,16,309,719
2011-03-31,27,369,950
2011-04-30,26,384,1094
2011-05-31,31,481,1297
2011-06-30,23,522,1304
2011-07-31,36,522,1493
2011-08-31,31,506,1559
2011-09-30,26,474,1478
2011-10-31,32,390,1393
2011-11-30,36,403,1419
2011-12-31,14,364,1341
2012-01-31,32,436,1195
2012-02-29,19,363,912
2012-03-31,29,473,1154
2012-04-30,29,384,1246
2012-05-31,23,517,1256
2012-06-30,32,510,1133
2012-07-31,37,571,1408
2012-08-31,32,601,1466
2012-09-30,17,481,1318
2012-10-31,20,472,1253
2012-11-30,25,432,1118
2012-12-31,14,435,1169
2013-01-31,25,439,1004
2013-02-28,28,359,860
2013-03-31,28,447,1074
2013-04-30,28,444,1066
2013-05-31,27,520,1152
2013-06-30,17,530,1178
2013-07-31,32,482,1320
2013-08-31,31,453,1306
2013-09-30,23,409,1250
2013-10-31,20,322,1167
2013-11-30,23,307,970
2013-12-31,17,289,1005
2014-01-31,27,311,973
2014-02-28,17,284,767
2014-03-31,32,304,850
2014-04-30,24,350,991
2014-05-31,20,442,1171
2014-06-30,28,409,1218
2014-07-31,41,441,1190
2014-08-31,32,427,1280
2014-09-30,19,361,1153
2014-10-31,29,379,1171
2014-11-30,26,328,946
2014-12-31,20,364,1096
2015-01-31,30,373,919
2015-02-28,13,313,629
2015-03-31,21,378,772
2015-04-30,29,386,875
2015-05-31,41,513,979
2015-06-30,35,483,1072
2015-07-31,32,542,1232
2015-08-31,30,463,1232
2015-09-30,27,419,1061
2015-10-31,27,411,1138
2015-11-30,25,367,982
2015-12-31,28,366,1025
2016-01-31,32,355,880
2016-02-29,38,321,681
2016-03-31,28,361,787
2016-04-30,21,393,809
2016-05-31,30,478,939
2016-06-30,33,462,1037
2016-07-31,32,484,1170
2016-08-31,26,471,1230
2016-09-30,21,392,1013
2016-10-31,14,354,956
2016-11-30,23,437,883
2016-12-31,29,366,865
2017-01-31,31,323,784
2017-02-28,20,267,655
2017-03-31,19,314,718
2017-04-30,28,419,805
2017-05-31,25,397,848
2017-06-30,24,448,961
2017-07-31,26,448,973
2017-08-31,27,495,1088
2017-09-30,26,433,935
2017-10-31,33,408,997
2017-11-30,32,340,901
2017-12-31,19,376,758
2018-01-31,27,368,732
2018-02-28,22,321,703
2018-03-31,25,381,747
2018-04-30,21,376,762
2018-05-31,33,462,905
2018-06-30,34,459,945
2018-07-31,27,483,1064
2018-08-31,39,437,1108
2018-09-30,25,391,1023
2018-10-31,28,373,910
2018-11-30,26,323,773
2018-12-31,25,348,737
2019-01-31,26,347,624
2019-02-28,24,290,598
2019-03-31,25,359,572
2019-04-30,22,350,662
2019-05-31,25,371,787
2019-06-30,21,402,821
2019-07-31,22,389,948
2019-08-31,25,377,878
2019-09-30,26,314,779
2019-10-31,21,352,914
2019-11-30,28,332,740
2019-12-31,25,340,824
2020-01-31,12,330,832
2020-02-29,4,285,618
2020-03-31,6,250,562
2020-04-30,7,216,472
2020-05-31,3,326,614
2020-06-30,4,346,571
2020-07-31,10,415,699
2020-08-31,5,416,711
2020-09-30,5,382,710
2020-10-31,3,417,739
2020-11-30,11,400,691
2020-12-31,19,356,647
2021-01-31,3,66,76
2005-12-01,184,3938,16730
2004-12-01,212,3806,16244
2003-12-01,206,3919,16510
2002-12-01,185,3757,15260
2001-12-01,229,3709,16185
2000-12-01,176,3657,16591
1999-12-01,175,3242,17436
1998-12-01,197,3485,18836
1997-12-01,230,4013,21278
1996-12-01,269,4524,22112
1995-12-01,261,6333,22424
1994-12-01,280,6890,24093
1993-12-01,295,6041,25830
1992-12-01,346,6367,26780
1991-12-01,319,6040,25428
1990-12-01,355,5276,23906
